ym,unrate
198104,7.2
198105,7.5
198106,7.5
198107,7.2
198108,7.4
198109,7.6
198110,7.9
198111,8.3
198112,8.5
198201,8.6
198202,8.9
198203,9.0
198204,9.3
198205,9.4
198206,9.6
198207,9.8
198208,9.8
198209,10.1
198210,10.4
198211,10.8
198212,10.8
198301,10.4
198302,10.4
198303,10.3
198304,10.2
198305,10.1
198306,10.1
198307,9.4
198308,9.5
198309,9.2
198310,8.8
198311,8.5
198312,8.3
198401,8.0
198402,7.8
198403,7.8
198404,7.7
198405,7.4
198406,7.2
198407,7.5
198408,7.5
198409,7.3
198410,7.4
198411,7.2
198412,7.3
198501,7.3
198502,7.2
198503,7.2
198504,7.3
198505,7.2
198506,7.4
198507,7.4
198508,7.1
198509,7.1
198510,7.1
198511,7.0
198512,7.0
198601,6.7
198602,7.2
198603,7.2
198604,7.1
198605,7.2
198606,7.2
198607,7.0
198608,6.9
198609,7.0
198610,7.0
198611,6.9
198612,6.6
198701,6.6
198702,6.6
198703,6.6
198704,6.3
198705,6.3
198706,6.2
198707,6.1
198708,6.0
198709,5.9
198710,6.0
198711,5.8
198712,5.7
198801,5.7
198802,5.7
198803,5.7
198804,5.4
198805,5.6
198806,5.4
198807,5.4
198808,5.6
198809,5.4
198810,5.4
198811,5.3
198812,5.3
198901,5.4
198902,5.2
198903,5.0
198904,5.2
198905,5.2
198906,5.3
198907,5.2
198908,5.2
198909,5.3
198910,5.3
198911,5.4
198912,5.4
199001,5.4
199002,5.3
199003,5.2
199004,5.4
199005,5.4
199006,5.2
199007,5.5
199008,5.7
199009,5.9
199010,5.9
199011,6.2
199012,6.3
199101,6.4
199102,6.6
199103,6.8
199104,6.7
199105,6.9
199106,6.9
199107,6.8
199108,6.9
199109,6.9
199110,7.0
199111,7.0
199112,7.3
199201,7.3
199202,7.4
199203,7.4
199204,7.4
199205,7.6
199206,7.8
199207,7.7
199208,7.6
199209,7.6
199210,7.3
199211,7.4
199212,7.4
199301,7.3
199302,7.1
199303,7.0
199304,7.1
199305,7.1
199306,7.0
199307,6.9
199308,6.8
199309,6.7
199310,6.8
199311,6.6
199312,6.5
199401,6.6
199402,6.6
199403,6.5
199404,6.4
199405,6.1
199406,6.1
199407,6.1
199408,6.0
199409,5.9
199410,5.8
199411,5.6
199412,5.5
199501,5.6
199502,5.4
199503,5.4
199504,5.8
199505,5.6
199506,5.6
199507,5.7
199508,5.7
199509,5.6
199510,5.5
199511,5.6
199512,5.6
199601,5.6
199602,5.5
199603,5.5
199604,5.6
199605,5.6
199606,5.3
199607,5.5
199608,5.1
199609,5.2
199610,5.2
199611,5.4
199612,5.4
199701,5.3
199702,5.2
199703,5.2
199704,5.1
199705,4.9
199706,5.0
199707,4.9
199708,4.8
199709,4.9
199710,4.7
199711,4.6
199712,4.7
199801,4.6
199802,4.6
199803,4.7
199804,4.3
199805,4.4
199806,4.5
199807,4.5
199808,4.5
199809,4.6
199810,4.5
199811,4.4
199812,4.4
199901,4.3
199902,4.4
199903,4.2
199904,4.3
199905,4.2
199906,4.3
199907,4.3
199908,4.2
199909,4.2
199910,4.1
199911,4.1
199912,4.0
200001,4.0
200002,4.1
200003,4.0
200004,3.8
200005,4.0
200006,4.0
200007,4.0
200008,4.1
200009,3.9
200010,3.9
200011,3.9
200012,3.9
200101,4.2
200102,4.2
200103,4.3
200104,4.4
200105,4.3
200106,4.5
200107,4.6
200108,4.9
200109,5.0
200110,5.3
200111,5.5
200112,5.7
200201,5.7
200202,5.7
200203,5.7
200204,5.9
200205,5.8
200206,5.8
200207,5.8
200208,5.7
200209,5.7
200210,5.7
200211,5.9
200212,6.0
200301,5.8
200302,5.9
200303,5.9
200304,6.0
200305,6.1
200306,6.3
200307,6.2
200308,6.1
200309,6.1
200310,6.0
200311,5.8
200312,5.7
200401,5.7
200402,5.6
200403,5.8
200404,5.6
200405,5.6
200406,5.6
200407,5.5
200408,5.4
200409,5.4
200410,5.5
200411,5.4
200412,5.4
200501,5.3
200502,5.4
200503,5.2
200504,5.2
200505,5.1
200506,5.0
200507,5.0
200508,4.9
200509,5.0
200510,5.0
200511,5.0
200512,4.9
200601,4.7
200602,4.8
200603,4.7
200604,4.7
200605,4.6
200606,4.6
200607,4.7
200608,4.7
200609,4.5
200610,4.4
200611,4.5
200612,4.4
200701,4.6
200702,4.5
200703,4.4
200704,4.5
200705,4.4
200706,4.6
200707,4.7
200708,4.6
200709,4.7
200710,4.7
200711,4.7
200712,5.0
200801,5.0
200802,4.9
200803,5.1
200804,5.0
200805,5.4
200806,5.6
200807,5.8
200808,6.1
200809,6.1
200810,6.5
200811,6.8
200812,7.3
200901,7.8
200902,8.3
200903,8.7
200904,9.0
200905,9.4
200906,9.5
200907,9.5
200908,9.6
200909,9.8
200910,10.0
200911,9.9
200912,9.9
201001,9.8
201002,9.8
201003,9.9
201004,9.9
201005,9.6
201006,9.4
201007,9.4
201008,9.5
201009,9.5
201010,9.4
201011,9.8
201012,9.3
201101,9.1
201102,9.0
201103,9.0
201104,9.1
201105,9.0
201106,9.1
201107,9.0
201108,9.0
201109,9.0
201110,8.8
201111,8.6
201112,8.5
201201,8.3
201202,8.3
201203,8.2
201204,8.2
201205,8.2
201206,8.2
201207,8.2
201208,8.1
201209,7.8
201210,7.8
201211,7.7
201212,7.9
201301,8.0
201302,7.7
201303,7.5
201304,7.6
201305,7.5
201306,7.5
201307,7.3
201308,7.2
201309,7.2
201310,7.2
201311,6.9
201312,6.7
201401,6.6
201402,6.7
201403,6.7
201404,6.2
201405,6.3
201406,6.1
201407,6.2
201408,6.1
201409,5.9
201410,5.7
201411,5.8
201412,5.6
201501,5.7
201502,5.5
201503,5.4
201504,5.4
201505,5.6
201506,5.3
201507,5.2
201508,5.1
201509,5.0
201510,5.0
201511,5.1
201512,5.0
201601,4.8
201602,4.9
201603,5.0
201604,5.1
201605,4.8
201606,4.9
201607,4.8
201608,4.9
201609,5.0
201610,4.9
201611,4.7
201612,4.7
201701,4.7
201702,4.6
201703,4.4
201704,4.4
201705,4.4
201706,4.3
201707,4.3
201708,4.4
201709,4.3
201710,4.2
201711,4.2
201712,4.1
201801,4.0
201802,4.1
201803,4.0
201804,4.0
201805,3.8
201806,4.0
201807,3.8
201808,3.8
201809,3.7
201810,3.8
201811,3.8
201812,3.9
201901,4.0
201902,3.8
201903,3.8
201904,3.7
201905,3.6
201906,3.6
201907,3.7
201908,3.6
201909,3.5
201910,3.6
201911,3.6
201912,3.6
202001,3.6
202002,3.5
202003,4.4
202004,14.8
202005,13.2
202006,11.0
202007,10.2
202008,8.4
202009,7.8
202010,6.9
202011,6.7
202012,6.7
202101,6.4
202102,6.2
202103,6.1
202104,6.1
202105,5.8
202106,5.9
202107,5.4
202108,5.1
202109,4.7
202110,4.5
202111,4.1
202112,3.9
202201,4.0
202202,3.9
202203,3.7
202204,3.7
202205,3.6
202206,3.6
202207,3.5
202208,3.6
202209,3.5
202210,3.6
202211,3.6
202212,3.5
202301,3.5
202302,3.6
202303,3.5
202304,3.4
202305,3.6
202306,3.6
202307,3.5
202308,3.7
202309,3.7
202310,3.9
202311,3.7
202312,3.8
202401,3.7
202402,3.9
202403,3.9
202404,3.9
202405,3.9
202406,4.1
202407,4.2
202408,4.2
202409,4.1
202410,4.1
202411,4.2
202412,4.1
202501,4.0
202502,4.2
202503,4.2
202504,4.2
202505,4.3
202506,4.1
202507,4.3
202508,4.3
202509,4.4
202510,
202511,4.5
202512,4.4
202601,4.3
202602,4.4
202603,4.3
202604,4.3
202605,4.3
202606,4.2
202607,4.1
202608,4.1
