ym,cape,gs10
187101,,5.32
187102,,5.323333333333333
187103,,5.326666666666667
187104,,5.33
187105,,5.333333333333334
187106,,5.336666666666667
187107,,5.34
187108,,5.343333333333334
187109,,5.346666666666668
187110,,5.3500000000000005
187111,,5.3533333333333335
187112,,5.3566666666666665
187201,,5.36
187202,,5.378333333333333
187203,,5.3966666666666665
187204,,5.415000000000001
187205,,5.433333333333334
187206,,5.451666666666666
187207,,5.470000000000001
187208,,5.488333333333333
187209,,5.506666666666667
187210,,5.5249999999999995
187211,,5.543333333333333
187212,,5.5616666666666665
187301,,5.58
187302,,5.570833333333334
187303,,5.561666666666666
187304,,5.552499999999999
187305,,5.543333333333333
187306,,5.534166666666667
187307,,5.525
187308,,5.515833333333333
187309,,5.506666666666667
187310,,5.4975000000000005
187311,,5.488333333333332
187312,,5.479166666666666
187401,,5.47
187402,,5.4366666666666665
187403,,5.403333333333332
187404,,5.37
187405,,5.336666666666667
187406,,5.303333333333334
187407,,5.27
187408,,5.236666666666666
187409,,5.203333333333333
187410,,5.17
187411,,5.136666666666667
187412,,5.1033333333333335
187501,,5.07
187502,,5.03
187503,,4.99
187504,,4.95
187505,,4.91
187506,,4.87
187507,,4.83
187508,,4.79
187509,,4.75
187510,,4.710000000000001
187511,,4.67
187512,,4.63
187601,,4.59
187602,,4.578333333333333
187603,,4.566666666666666
187604,,4.555000000000001
187605,,4.543333333333333
187606,,4.531666666666666
187607,,4.52
187608,,4.508333333333334
187609,,4.496666666666667
187610,,4.485
187611,,4.473333333333334
187612,,4.461666666666667
187701,,4.45
187702,,4.440833333333333
187703,,4.431666666666667
187704,,4.4225
187705,,4.413333333333333
187706,,4.404166666666667
187707,,4.395
187708,,4.385833333333333
187709,,4.376666666666667
187710,,4.367500000000001
187711,,4.358333333333333
187712,,4.349166666666666
187801,,4.34
187802,,4.33
187803,,4.32
187804,,4.3100000000000005
187805,,4.3
187806,,4.29
187807,,4.279999999999999
187808,,4.27
187809,,4.26
187810,,4.25
187811,,4.239999999999999
187812,,4.2299999999999995
187901,,4.22
187902,,4.203333333333333
187903,,4.186666666666666
187904,,4.17
187905,,4.153333333333332
187906,,4.136666666666667
187907,,4.119999999999999
187908,,4.103333333333333
187909,,4.086666666666666
187910,,4.069999999999999
187911,,4.053333333333333
187912,,4.036666666666667
188001,,4.02
188002,,3.993333333333333
188003,,3.9666666666666663
188004,,3.9399999999999995
188005,,3.913333333333333
188006,,3.8866666666666667
188007,,3.8600000000000003
188008,,3.8333333333333335
188009,,3.8066666666666666
188010,,3.7800000000000002
188011,,3.7533333333333334
188012,,3.726666666666667
188101,18.473952301404942,3.7
188102,18.14725816499024,3.693333333333334
188103,18.270119140204997,3.686666666666667
188104,17.950108278222896,3.68
188105,18.8697186931526,3.673333333333334
188106,19.02871073111579,3.666666666666667
188107,18.116367187389752,3.66
188108,17.28624355397345,3.6533333333333333
188109,16.724836648772907,3.646666666666667
188110,16.26198941118135,3.64
188111,16.47864231664487,3.6333333333333337
188112,15.958754206105084,3.626666666666667
188201,15.678764160028747,3.62
188202,15.153861528363045,3.6208333333333336
188203,15.09167029948675,3.621666666666667
188204,14.916997168375307,3.6225
188205,14.567103202191767,3.6233333333333335
188206,14.327404890131675,3.6241666666666665
188207,15.24055976121783,3.625
188208,15.525429331463037,3.6258333333333335
188209,16.081106624462315,3.626666666666667
188210,15.755581030526558,3.6275
188211,15.192670313165342,3.6283333333333334
188212,15.382128332081978,3.629166666666667
188301,15.270259119098574,3.63
188302,14.757590146176227,3.629166666666667
188303,15.051254121401639,3.6283333333333334
188304,15.482067222036676,3.6275
188305,15.335497637337065,3.626666666666667
188306,15.903388388583794,3.6258333333333335
188307,15.948783127017029,3.625
188308,15.19681087662985,3.6241666666666665
188309,15.494692425793458,3.6233333333333335
188310,15.048056270223842,3.6225
188311,15.408218142448874,3.621666666666667
188312,14.896403941887167,3.6208333333333336
188401,14.432821721970726,3.62
188402,14.805960228816716,3.611666666666667
188403,14.736023454014472,3.6033333333333335
188404,14.353453682579472,3.5949999999999998
188405,13.465050313804905,3.586666666666667
188406,12.906876483666863,3.5783333333333336
188407,13.043931585991668,3.57
188408,13.859813341769325,3.5616666666666665
188409,13.569154744335723,3.5533333333333337
188410,13.273251319134156,3.545
188411,13.30443760211973,3.536666666666667
188412,13.432292746944764,3.5283333333333333
188501,13.129817425635963,3.52
188502,13.384817593597965,3.5075
188503,13.734194093452514,3.495
188504,13.548548541030058,3.4825
188505,13.711371872561942,3.4699999999999998
188506,13.978784368698353,3.4575
188507,14.326658777089326,3.445
188508,15.130410796707155,3.4325
188509,15.116285028724242,3.42
188510,15.991023962168983,3.4075
188511,16.82403449861902,3.3950000000000005
188512,16.304475952278526,3.3825000000000003
188601,16.692317470797658,3.37
188602,17.006648259461002,3.3825000000000003
188603,16.843266101570137,3.3950000000000005
188604,16.801716131246305,3.4075
188605,16.863195515097832,3.42
188606,17.831494055376883,3.4325
188607,17.84584504153221,3.445
188608,17.72391279961927,3.4575
188609,18.14714392580003,3.4699999999999998
188610,18.562381342866566,3.4825
188611,18.968312634942837,3.495
188612,18.194057556886438,3.5075
188701,17.512222096304956,3.52
188702,17.125366596972317,3.5324999999999998
188703,17.473213711513754,3.5450000000000004
188704,17.82298363910071,3.5575
188705,18.07544542745824,3.5700000000000003
188706,17.707695663272986,3.5825
188707,17.43146053561307,3.5949999999999998
188708,16.739849614820702,3.6075
188709,16.676629667380144,3.62
188710,15.880666812517312,3.6325
188711,15.950712201066773,3.6450000000000005
188712,15.455513454469944,3.6574999999999998
188801,15.358662514259905,3.67
188802,15.418178318820534,3.6516666666666664
188803,14.808972366946568,3.6333333333333337
188804,15.02010868184446,3.615
188805,15.38791695722913,3.5966666666666667
188806,15.077628818434691,3.578333333333333
188807,15.279642515498175,3.5600000000000005
188808,15.602911670088805,3.541666666666667
188809,15.987828821761422,3.5233333333333334
188810,15.715941874329705,3.505
188811,15.223749016946284,3.486666666666667
188812,14.946748301089228,3.4683333333333333
188901,15.802286071028163,3.45
188902,16.192720447848995,3.4475000000000002
188903,16.06504536076929,3.445
188904,16.050104533967485,3.4425
188905,16.915421076068377,3.4400000000000004
188906,17.21930294394768,3.4375
188907,16.889214491107513,3.4350000000000005
188908,17.131853975345724,3.4325
188909,17.35078802634859,3.4299999999999997
188910,17.053214402955483,3.4275
188911,16.90602117024936,3.4250000000000003
188912,16.610338076603384,3.4225
189001,17.220071982181892,3.42
189002,17.0268149826714,3.4366666666666665
189003,16.901122288589896,3.4533333333333336
189004,17.25785454260319,3.4699999999999998
189005,17.786430487858613,3.4866666666666664
189006,17.684360844450154,3.5033333333333334
189007,17.589295440864852,3.5199999999999996
189008,16.596791133979092,3.536666666666667
189009,16.169702000615295,3.5533333333333337
189010,15.482849163344424,3.57
189011,14.745043493292792,3.586666666666667
189012,14.442991231338429,3.6033333333333335
189101,15.428980086469084,3.62
189102,15.476522332432529,3.618333333333333
189103,15.051623357657373,3.616666666666667
189104,15.408945125474114,3.6149999999999998
189105,15.566495230713242,3.6133333333333333
189106,15.658211395638135,3.611666666666667
189107,15.617919238645978,3.61
189108,16.163998509963022,3.6083333333333334
189109,17.711261413256512,3.6066666666666665
189110,17.71656858982635,3.6049999999999995
189111,17.671739174763985,3.6033333333333335
189112,18.20630300020992,3.601666666666667
189201,19.016388404225253,3.6
189202,19.036425040978425,3.6125000000000003
189203,19.738054849323,3.625
189204,19.943265241638635,3.6374999999999997
189205,19.911465213489794,3.65
189206,19.76928439713673,3.6625
189207,19.211886434505548,3.675
189208,19.20430380317381,3.6875
189209,18.694271809588194,3.7
189210,19.0402149153247,3.7125
189211,18.46331269079999,3.725
189212,18.013009251275733,3.7375
189301,17.65664370809877,3.75
189302,17.12519385487245,3.7458333333333336
189303,16.899589031582316,3.7416666666666667
189304,17.102541578254915,3.7375000000000003
189305,15.780987310776249,3.7333333333333334
189306,15.41650386359769,3.729166666666667
189307,14.349854182760946,3.7250000000000005
189308,14.58805653580781,3.7208333333333337
189309,15.01206907913876,3.716666666666667
189310,15.271794153520188,3.7125000000000004
189311,15.942411400571675,3.7083333333333335
