yyyymm,PLS_SENT,PLS_SENT_ORTH
196507,-0.5077864827126696,-0.8009348795349481
196508,-0.5897287521846765,-1.007670314569193
196509,-0.6809569229308172,-1.168516610789659
196510,-0.7230634127319159,-1.346909956483534
196511,-0.7084255821547584,-0.9212888361024544
196512,-0.7835346968523307,-1.077674366533356
196601,-0.829357511654287,-1.050104789090094
196602,-0.952567604294371,-1.197919574308321
196603,-0.7518662524095058,-0.8567407562294118
196604,-0.6443731022793681,-0.8779508114917508
196605,-0.7098519564893646,-0.8840867968792979
196606,-0.6024888490280705,-0.608178059756144
196607,-0.4479769464779044,-0.5019343549639843
196608,-0.3368327119284357,-0.310383063195063
196609,-0.4487387552300493,-0.6876120835040712
196610,-0.4999344555000796,-0.8710604153869875
196611,-0.6451144849964845,-1.104430911449906
196612,-0.6970599953084126,-1.09732440323572
196701,-0.7870570537294335,-1.198092067091698
196702,-0.7156440837322621,-0.8875190155719157
196703,-0.894291781183743,-1.088901830505944
196704,-0.8814294906071857,-1.245228862707439
196705,-0.9866146094864705,-1.13488181294725
196706,-1.09542014994621,-1.456827199812077
196707,-1.201536599888058,-1.502638373217227
196708,-1.279506534606374,-1.630588238338053
196709,-1.145688755387563,-1.298572778399006
196710,-1.058087803322683,-1.084619575804335
196711,-0.9474606131009387,-1.04111172937265
196712,-0.8400820005255952,-0.8971832729882843
196801,-0.6493996771298352,-0.7543436218456994
196802,-0.6611390274322526,-0.8257438160911077
196803,-0.5568462174979975,-0.760734605114783
196804,-0.690686157381203,-0.7282451862072183
196805,-0.4509462657818893,-0.790621855435056
196806,-0.3288328606090015,-0.6478991217403611
196807,-0.0555403991820444,-0.167673810711517
196808,0.5062588292768544,0.5245711908706383
196809,0.7072620561139816,0.5937550977112622
196810,0.9162179716373807,1.023867247948588
196811,1.249150262859022,1.284493716530535
196812,1.856215785138394,1.790269709177208
196901,2.080619564644809,2.147677719973847
196902,2.224705408150065,2.214797384281167
196903,2.322738434552556,2.366903613018161
196904,2.667729905731563,2.822365783418536
196905,3.305488310027091,3.583215133103297
196906,3.562085681435247,3.796972788288428
196907,3.656719440214018,3.720207161535047
196908,3.618089187898204,3.661445786408038
196909,3.763845247787908,3.970250319824022
196910,3.637601927217911,3.71547818765681
