ym,bullish,neutral,bearish,spread,n_weeks
201701,0.3960595,0.30802125,0.29591925,0.10014024999999999,4
201702,0.35038274999999997,0.3333675,0.31624975,0.03413299999999997,4
201703,0.3291478,0.2934336,0.3774188,-0.04827100000000001,5
201704,0.30257225,0.32889375,0.36853425,-0.06596200000000002,4
201705,0.318788,0.3701725,0.31103949999999997,0.007748500000000047,4
201706,0.313989,0.3933778,0.2926338,0.02135520000000002,5
201707,0.319404,0.40654725,0.274049,0.045355000000000034,4
201708,0.3141026,0.33506559999999996,0.3508318,-0.03672920000000002,5
201709,0.36008724999999997,0.35576874999999997,0.284144,0.07594324999999996,4
201710,0.38234175,0.31599625,0.3016615,0.08068024999999995,4
201711,0.381893,0.323104,0.2950028,0.08689019999999997,5
201712,0.46255025,0.26594724999999997,0.27150275,0.19104749999999998,4
201801,0.51998375,0.26490475,0.21511175,0.304872,4
201802,0.43742375,0.29264175,0.2699345,0.16748924999999998,4
201803,0.3313968,0.3947252,0.27387740000000005,0.05751939999999994,5
201804,0.33168875,0.3329045,0.33540675,-0.003717999999999999,4
201805,0.3443228,0.3999244,0.255753,0.08856979999999998,5
201806,0.37719625,0.3342805,0.28852325,0.088673,4
201807,0.3427275,0.356602,0.30067049999999995,0.04205700000000007,4
201808,0.3672034,0.3455088,0.28728739999999997,0.07991600000000004,5
201809,0.3564365,0.337872,0.305692,0.05074449999999997,4
201810,0.34543125,0.31311125,0.34145749999999997,0.003973750000000054,4
201811,0.3468744,0.2766212,0.3765042,-0.029629799999999984,5
201812,0.2881495,0.26944725,0.44240375,-0.15425424999999998,4
201901,0.3488618,0.30621,0.344928,0.003933799999999987,5
201902,0.3898205,0.3770655,0.23311375,0.15670675,4
201903,0.350777,0.378177,0.271046,0.079731,4
201904,0.36598775,0.40738325,0.226629,0.13935875,4
201905,0.3229284,0.3570934,0.3199782,0.002950200000000014,5
201906,0.27116125,0.37642,0.35241849999999997,-0.08125724999999995,4
201907,0.3360935,0.36261,0.3012965,0.03479699999999997,4
201908,0.27207159999999997,0.329852,0.3980766,-0.12600500000000003,5
201909,0.3161975,0.35421,0.3295925,-0.01339499999999999,4
201910,0.28975739999999994,0.3679242,0.3423184,-0.05256100000000008,5
201911,0.37226875000000004,0.35759075,0.27014075000000004,0.102128,4
201912,0.388323,0.36871425,0.24296275,0.14536024999999997,4
202001,0.3793974,0.3388,0.28180259999999996,0.09759480000000004,5
202002,0.36549625,0.31096175000000004,0.323542,0.041954250000000026,4
202003,0.339325,0.17526375,0.48541075,-0.14608575000000001,4
202004,0.322318,0.2153324,0.4623498,-0.14003179999999998,5
202005,0.27264175,0.25129825,0.47605949999999997,-0.20341774999999995,4
202006,0.293333,0.272646,0.43402075,-0.14068775,4
202007,0.2528588,0.2886666,0.45847439999999995,-0.20561559999999995,5
202008,0.28947125,0.28114700000000004,0.42938149999999997,-0.13991024999999996,4
202009,0.278568,0.27990349999999997,0.44152875,-0.16296075000000004,4
202010,0.3336054,0.2941726,0.372222,-0.0386166,5
202011,0.463512,0.26102075,0.27546725,0.18804474999999998,4
202012,0.4604006,0.290368,0.2492312,0.21116939999999998,5
202101,0.41799633333333336,0.23362466666666667,0.348379,0.06961733333333336,3
202102,0.43948624999999997,0.2829725,0.27754075,0.16194549999999996,4
202103,0.4739115,0.2935505,0.232538,0.2413735,4
202104,0.5036216,0.2676304,0.22874819999999998,0.27487340000000005,5
202105,0.385716,0.35729900000000003,0.2569855,0.12873050000000003,4
202106,0.41459175,0.3605705,0.22483750000000002,0.18975424999999996,4
202107,0.38364159999999997,0.3598928,0.2564656,0.12717599999999996,5
202108,0.36443475000000003,0.30739075,0.32817450000000004,0.036260249999999994,4
202109,0.3256256,0.314904,0.35947019999999996,-0.03384459999999995,5
202110,0.375258,0.310406,0.31433625,0.06092175,4
202111,0.40537199999999995,0.312262,0.282366,0.12300599999999995,4
202112,0.2977102,0.3490132,0.3532768,-0.05556660000000002,5
202201,0.25440925,0.3173675,0.4282235,-0.17381425,4
202202,0.233737,0.32629025,0.4399725,-0.2062355,4
202203,0.283084,0.316956,0.3999598,-0.11687579999999997,5
202204,0.18964,0.32779925,0.4825605,-0.29292050000000003,4
202205,0.24253575,0.24300675,0.51445725,-0.2719215,4
202206,0.2269338,0.2764562,0.49660960000000004,-0.2696758,5
202207,0.258955,0.28698125,0.45406375,-0.19510875,4
202208,0.30935999999999997,0.30294025,0.38769975,-0.07833975000000004,4
202209,0.207594,0.2497016,0.5427044,-0.3351104,5
202210,0.23368125,0.23491475,0.53140375,-0.29772249999999995,4
202211,0.29491725,0.3041445,0.4009385,-0.10602124999999996,4
202212,0.24058799999999997,0.3058282,0.4535838,-0.2129958,5
202301,0.2596975,0.3611435,0.379159,-0.1194615,4
202302,0.3079125,0.37467925,0.317408,-0.009495500000000046,4
202303,0.22176200000000001,0.3193768,0.4588412,-0.2370792,5
202304,0.27683275,0.36531125,0.35783075,-0.08099799999999996,4
202305,0.25937775,0.32676625,0.41385575,-0.154478,4
202306,0.4071384,0.3147686,0.27809300000000003,0.12904539999999998,5
202307,0.45913525,0.300974,0.2399155,0.21921975,4
202308,0.3898664,0.3152986,0.2948348,0.0950316,5
202309,0.33924175,0.3248625,0.33589575,0.0033460000000000156,4
202310,0.33362075,0.27672975,0.38964925,-0.05602849999999998,4
202311,0.4095074,0.29286219999999996,0.2976302,0.11187720000000001,5
202312,0.49465625,0.2736375,0.23170625,0.26295,4
202401,0.441985,0.3067115,0.2513035,0.1906815,4
202402,0.4620748,0.2951132,0.2428122,0.2192626,5
202403,0.47708525,0.28968875,0.233226,0.24385925000000003,4
202404,0.402845,0.31175175,0.28540350000000003,0.11744149999999998,4
202405,0.412493,0.3223358,0.265171,0.147322,5
202406,0.431066,0.2976455,0.27128875,0.15977724999999998,4
202407,0.46710025,0.27543525,0.2574645,0.20963575,4
202408,0.4614756,0.25418419999999997,0.28434020000000004,0.17713539999999994,5
202409,0.46393449999999997,0.27118375,0.26488175,0.19905274999999995,4
202410,0.4342216,0.29772980000000004,0.26804839999999996,0.16617320000000002,5
202411,0.424326,0.25619,0.319484,0.10484199999999999,4
202412,0.4254645,0.25476475,0.31977075,0.10569375000000003,4
